X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
6.7801,46.47428,0,0,99,380,2010/01/01 00:27:44+00,,,,,,,,,,,,,,,,,,,,,
6.77988,46.4743,0,0,100,380,2010/01/01 00:27:48+00,,,,,,,,,,,,,,,,,,,,,
6.77847,46.47475,0,0,101,404,2010/01/01 00:28:14+00,,,,,,,,,,,,,,,,,,,,,
6.77794,46.47485,0,0,102,404,2010/01/01 00:28:24+00,,,,,,,,,,,,,,,,,,,,,
6.77672,46.47486,0,0,103,393,2010/01/01 00:28:45+00,,,,,,,,,,,,,,,,,,,,,
6.77632,46.47495,0,0,104,393,2010/01/01 00:28:52+00,,,,,,,,,,,,,,,,,,,,,
6.77033,46.47699,0,0,105,376,2010/01/01 00:30:46+00,,,,,,,,,,,,,,,,,,,,,
6.77017,46.47705,0,0,106,376,2010/01/01 00:30:50+00,,,,,,,,,,,,,,,,,,,,,
6.77008,46.47715,0,0,107,409,2010/01/01 00:30:52+00,,,,,,,,,,,,,,,,,,,,,
6.76907,46.47746,0,0,108,394,2010/01/01 00:31:11+00,,,,,,,,,,,,,,,,,,,,,
6.76783,46.47784,0,0,109,381,2010/01/01 00:31:35+00,,,,,,,,,,,,,,,,,,,,,
6.76459,46.47899,0,0,110,405,2010/01/01 00:32:37+00,,,,,,,,,,,,,,,,,,,,,
6.76232,46.4799,0,0,111,398,2010/01/01 00:33:22+00,,,,,,,,,,,,,,,,,,,,,
6.7606,46.48069,0,0,112,400,2010/01/01 00:33:58+00,,,,,,,,,,,,,,,,,,,,,
6.75949,46.48129,0,0,113,392,2010/01/01 00:34:22+00,,,,,,,,,,,,,,,,,,,,,
6.75913,46.48154,0,0,114,392,2010/01/01 00:34:30+00,,,,,,,,,,,,,,,,,,,,,
6.7576,46.48302,0,0,115,396,2010/01/01 00:35:16+00,,,,,,,,,,,,,,,,,,,,,
6.75717,46.48338,0,0,116,396,2010/01/01 00:35:27+00,,,,,,,,,,,,,,,,,,,,,
6.7565,46.48384,0,0,117,404,2010/01/01 00:35:44+00,,,,,,,,,,,,,,,,,,,,,
6.756,46.4841,0,0,118,391,2010/01/01 00:35:54+00,,,,,,,,,,,,,,,,,,,,,
6.75516,46.48439,0,0,119,383,2010/01/01 00:36:10+00,,,,,,,,,,,,,,,,,,,,,
6.75484,46.48454,0,0,120,383,2010/01/01 00:36:17+00,,,,,,,,,,,,,,,,,,,,,
6.7546,46.48471,0,0,121,400,2010/01/01 00:36:23+00,,,,,,,,,,,,,,,,,,,,,
6.75307,46.4861,0,0,122,387,2010/01/01 00:37:06+00,,,,,,,,,,,,,,,,,,,,,
6.75252,46.48641,0,0,123,393,2010/01/01 00:37:18+00,,,,,,,,,,,,,,,,,,,,,
6.7513,46.48687,0,0,124,385,2010/01/01 00:37:42+00,,,,,,,,,,,,,,,,,,,,,
6.75069,46.48704,0,0,125,381,2010/01/01 00:37:54+00,,,,,,,,,,,,,,,,,,,,,
6.74973,46.48739,0,0,126,397,2010/01/01 00:38:12+00,,,,,,,,,,,,,,,,,,,,,
6.74867,46.48816,0,0,127,393,2010/01/01 00:38:39+00,,,,,,,,,,,,,,,,,,,,,
6.74664,46.48887,0,0,128,398,2010/01/01 00:39:18+00,,,,,,,,,,,,,,,,,,,,,
